Company,Interview Questions,Date,Candidate,Offer?,Experience,Difficulty of Interview,How the candidate applied,Process,Who found review helpful
Google,Problème de leetcode avec le principe de tiroir,"Sep 29, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I interviewed at Google,"First there was an interview with HR then we passed technical interview which is more important, I prepared enough with a website called leetcode, but unfortunately it didn't go very well.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,When do you use mean vs median?,"Mar 18, 2022","Anonymous Interview Candidate in Mountain View, CA",No Offer,Neutral Experience,Difficult Interview,"I applied through a recruiter. I interviewed at Google (Mountain View, CA)","Applied online, was contacted by a recruiter, and did the technical phone screen. Overall, the questions just seemed like I was taking a statistics exam. You need to know the the underlying assumptions of statistical tests . Coding was done in a google doc, and mostly only required knowledge of base or built-in functions in your language of choice.","58 people found this interview helpful
 Helpful
 Share
 Report"
Google,"Name, Expectations, phone number, and address.","Jul 11, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I interviewed at Google,"The interview was super easy. You usually go through 2 short interviews. They asked about very basic questions, like where you live, how you commute, and what your availability is. One question they asked was what you think good hospitality is. You know right after if you are hired or not.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,Prove the probability integral transform.,"Jun 7, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I interviewed at Google,"The first two were straight forward, the technical interviews were the most challenging I have encountered. A lot of Statistics questions were reminiscent of the Casella Berger Statistics text book.","3 people found this interview helpful
 Helpful
 Share
 Report"
Google,How would you solve global warming?,"May 17, 2022",Anonymous Interview Candidate,Declined Offer,Positive Experience,Easy Interview,I interviewed at Google,7 interviews with differnent topics like coiding and stats. The interviewers were friendly and they would give you time to reply the questions. I don't know what else to say. Good luck.,"1 person found this interview helpful
 Helpful
 Share
 Report"
Google,basic coding and simulation setup.,"May 2, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I interviewed at Google,"It was alright. The interviewer asked to code in a google doc and focused more on basic concepts around probability and regression, plus some coding of simulations with the push to use for loops (which I dislike and never set my simulations that way).","5 people found this interview helpful
 Helpful
 Share
 Report"
Google,If product A had feature and team wanted to change it. How would you use data science to give recommendations to team?,"Jun 7, 2022","Anonymous Interview Candidate in Boulder, CO",No Offer,Negative Experience,Easy Interview,"I applied online. The process took 4 weeks. I interviewed at Google (Boulder, CO) in May 2022","They scheduled a technical interview, which took them a long time to do so, after an e-mail reach out and me answering some screening questions. Technical video interview was one hour with a SQL and A/B testing question. Got rejection e-mail a few days later and they made sure ""no feedback"" was provided or would be provided by stating it on the e-mail.","2 people found this interview helpful
 Helpful
 Share
 Report"
Google,Describe to me how PCA works.,"Apr 26, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I applied online. I interviewed at Google,HR Sent an email with technical questions. Then a couple of weeks later then received a Virtual Interview. The virtual interview included technical questions and a live code test. The code test was on a google document.,"2 people found this interview helpful
 Helpful
 Share
 Report"
Google,"Signed an NDA. The guide the recruiter sends out is quite accurate, but be aware that interviewers will often ask very similar questions in different modules while looking for very different behaviors. (e.g. a practical answer vs. a purely mathematical one). Additionally, be ready to talk about your past work experience.","Oct 10, 2022",Anonymous Interview Candidate,No Offer,Negative Experience,Difficult Interview,I applied through an employee referral. The process took 3 months. I interviewed at Google in May 2022,"The stages prior to the on-site were conducted well. However, my negative rating is because of how the on-site was conducted. My interviewers seemed highly inexperienced. They didn't introduce themselves and tended to start the interview by just stating questions. One interviewer in particular was condescending from the very beginning, and refused to give any clarification when I asked specific questions about what kinds of users product was interested in. Another asked a follow-up question that would have made it totally pointless to address the problem with their preferred approach. It often felt like despite the open-endedness of the questions, I was expected to give a single, predetermined answer decided by the interviewer. This made it difficult to build upon my initial work because the interviewer often expected a totally different approach. The structure of the interview itself was an initial recruiting call, then phone technical screener, then recruiter prep call, then virtual on-site. The whole process took about three months, plus another two weeks to get the result due to the hiring freeze. Despite the fact that the recruiter told me I would receive feedback after my interview loop, I received a generic rejection email with no such feedback.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,"Just one call with the recruiter, asked about my experience generally.","Apr 27, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied through an employee referral. I interviewed at Google,"Applied through referral, recruiter reached out and said would move me to the next round with the hiring manager, but 2 weeks later the next interview has not been scheduled. The whole process moved pretty slow so I had to dropped out.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,It is a leetcode about BFS,"Feb 2, 2023","Anonymous Interview Candidate in Toronto, ON",No Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Google (Toronto, ON) in Apr 2022","Great ! And very smooth! The talking is great and I am very excited. It's a code interview and although I am not good at it, I made it in the end.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,"Ask all about A/B testing questions, selection bias, and ML","Mar 23, 2022",Anonymous Interview Candidate,No Offer,Negative Experience,Difficult Interview,I interviewed at Google,The interviewer is not familiar with the process and was told will test SQL but the interviewer never mentioned it. Only keep asking about my experience and statistic question. The experience is not that good,"3 people found this interview helpful
 Helpful
 Share
 Report"
Google,"Used Google docs and Google meets during the interview. The interviewer asked about regression, Testing, and training. After this, the interviewer asked to code sorting numbers and print them. The next problem was drawing a histogram.","Nov 16, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Google in Mar 2022,"The recruiter contacted me and scheduled a date. After that, I received an information email from the HR department. On the interview date, the interviewer connected me through Google meet. And used google docs to communicate with the interviewer.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,Data Science concepts such as regression and performancd metrics,"Feb 28, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I interviewed at Google,"Three rounds of technical interview. About designing a system based on available data. Professionalism, behavioral performance was also gauged. Essentials of Data Science and Machine Learning concepts were reviewed and questions were asked.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,"SE of sample mean & SE of sample median
 
 Write a function to return elements from the Fibonnaci sequence & analyze its computational complexity.","Feb 8, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I interviewed at Google,"The interviewer asked me questions on data intuition, statistics and coding skills, though I feel the data intuition part is really just statistics. It seems I finished answering the questions the interviewer had planned sooner than he expected, so he asked me another question, on which I got stuck.","6 people found this interview helpful
 Helpful
 Share
 Report"
Google,Window function and group by,"Feb 11, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I interviewed at Google,"Nice and good, phone screen at the first call, then VO asked a question about sql and time series. Right code in the interview to who your sql skills. Also had a case study.","4 people found this interview helpful
 Helpful
 Share
 Report"
Google,Please describe your previous experience.,"Jun 28, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied through a recruiter. The process took 1 week. I interviewed at Google in Jan 2022,A phone screen where the interviewer listened to my previous experience and then asked me a regression question. She was talking on mute for a bit until I messaged her that I couldn't hear her and then when she unmuted herself she didn't repeat herself. So I might have missed an important bit of info lol.,"1 person found this interview helpful
 Helpful
 Share
 Report"
Google,"Hypothesis testing, python coding questions","Jan 30, 2023","Anonymous Interview Candidate in San Francisco, CA",No Offer,Positive Experience,Difficult Interview,"I applied online. The process took 4 weeks. I interviewed at Google (San Francisco, CA) in Jan 2022",Brief introduction and coding challange. Some statistics question related to hypothesis testing. Interview process was super smooth but the questions were tough for a person who does not come from statistics background,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,Why do you prefer Google over Apple?,"Dec 21, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied online. The process took 5 months. I interviewed at Google in Jan 2022,"Got a call with a recruiter after about 2 months of submission through the Google's website. Recruiter advanced me to the final round right away. After the interviews, waited 1.5 months for a hiring committee decision.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,"You have 2 groups of people and are testing 2 drugs. 
 
 
 
 How would you design and experiment to test the effectiveness of both drug?","Feb 2, 2022",Anonymous Interview Candidate in Tokyo,No Offer,Positive Experience,Difficult Interview,I applied online. The process took 5 weeks. I interviewed at Google (Tokyo) in Dec 2021,"Overall proces was ok. Did about 6 interviews and was treated nicely in most. One interviewer was a bit obnoxious, being really straight to the point without any introductory questions. That was really awful. 
 
 
 
 Also, when I was rejected after a very lengthy process, I didn't get a single line of feedback. Even though I politely requested it 4 times with 2 week intervals, the HR person didn't even reply to my emails. Disgusting behavior.","6 people found this interview helpful
 Helpful
 Share
 Report"
Google,What is a random variable? How do you test if it comes from a particular distribution?,"Feb 23, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Google in Dec 2021,"Interviewer was pretty disconnected, distracted and looked like did not know what he wanted to or tried to ask. It was easy to connect with HR and a get a phone/video interview right away.","3 people found this interview helpful
 Helpful
 Share
 Report"
Google,Analysis chart. Design an algorithm to separate different clusters. Find common friends' friends by PYTHON!!,"Mar 22, 2022",Anonymous Interview Candidate,No Offer,Negative Experience,Difficult Interview,I applied online. I interviewed at Google in Dec 2021,It seems that the interviewer does not know what I was telling about and neither do I. Some of the interviewers are extremely unprofessional. They require me to join the table in python. I asked them if I can join them by SQL. They told me no.,"1 person found this interview helpful
 Helpful
 Share
 Report"
Google,Quelles compétences pensez vous pouvoir apporter à notre entreprise?,"Dec 3, 2021",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I interviewed at Google,Plusieurs rounds d'entretien à la fois techniques et de motivation. Ils évaluent la capacité du candidat à appréhender des problématiques techniques d'un point de vue global. Il faut également faire preuve d'un sens business non négligeable.,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,Statistics and machine learning questions,"Oct 28, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I interviewed at Google,"There are a few steps for screening. First there is phone screening , followed by technical screening, and then on site interviews.
 There are different questions throughout the interview. Statistics and machine learning questions
 Coding questions
 Product sense questions
 Behavioral questions,","3 people found this interview helpful
 Helpful
 Share
 Report"
Google,"Standard error of median, interpret standard error of the mean, how to generate a matrix that follows Bernoulli distribution in python, divide each element of the matrix with sum of columns","Sep 23, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 1 week. I interviewed at Google in Sep 2021,"Applied on the portal and the recruiter called back after 1 month. Explained the whole process, it consists of 1+5 interviews with every interview focusing on a different aspects of data science","12 people found this interview helpful
 Helpful
 Share
 Report"
Google,,"Sep 22, 2021",Anonymous Interview Candidate,Declined Offer,Positive Experience,Easy Interview,I interviewed at Google,The interview process is very easy just the candidate need to be focused about what he/she wants to do with the career in google. The questions are asked in the interview are very very easy.,"1 person found this interview helpful
 Helpful
 Share
 Report"
Google,"R1: You need to diagnose an error in the program:
 
 The google maps team wants to understand whether dismiss rate is a reasonable metric to help understand user experience of a button in the app. The hypothesis is that, the higher the dismiss rate, the worse the user experience. Hence, they perform a simulation in the A/A comparison scenario. In the simulation, signal = all interactions on the button (click, dismiss, ignore, ...), and negative signal = dismiss. 
 
 
 
  
 
 
 
 The pseudo code is as follows. Note that we might refer to the numerator and denominator often in later discussions. 
 
 
 
  
 
 
 
 result_pval = [] 
 
 
 
  
 
 
 
 for replica in (1:1000): 
 
 
 
 # the number of overall signals follows a roughly bell shaped distribution 
 
 
 
 num_signal_control = round(random.normal(150, std = 30)) 
 
 
 
 num_signal_treatment = round(random.normal(150, std = 30)) 
 
 
 
  
 
 
 
 # given the number of overall signals, the number of negative signals follows a binomial distribution 
 
 
 
 num_negative_signal_control = random.binomial(num_signal_control, 0.5) 
 
 
 
  num_negative_signal_treatment = random.binomial(num_signal_treatment, 0.5) 
 
 
 
  
 
 
 
  # define numerator and denominator of the test statistics 
 
 
 
  # the idea of the denominator is: we use Normal approximation to estimate the variance of the numerator 
 
 
 
  p_hat_control = num_negative_signal_control / num_signal_control 
 
 
 
  p_hat_treatment = num_negative_signal_treatment / num_signal_treatment 
 
 
 
  numerator = p_hat_treatment - p_hat_control 
 
 
 
  denominator = sqrt( 
 
 
 
  p_hat_treatment*(1-p_hat_treatment)/num_signal_treatment 
 
 
 
  + p_hat_control *(1-p_hat_control) /num_signal_control 
 
 
 
  ) 
 
 
 
  testing_statistics = numerator / denominator 
 
 
 
  
 
 
 
  # calculate p value and append to the result vector 
 
 
 
  p_value = 2*std_normal_area_under_curve( 
 
 
 
  lower = abs(testing_statistics), upper = infinity) 
 
 
 
 result_pval = append(result_pval, p_value) 
 
 
 
  
 
 
 
  
 
 
 
 plot_histogram(result_pval) 
 
 
 
  
 
 
 
 The histogram of the p-values is skewed to the right on [0,1]. In other words, there are more p values < 0.5 than p values > 0.5. 
 
 
 
  
 
 
 
 Q1: Is such a distribution of p-value expected?","Sep 2, 2021","Anonymous Interview Candidate in Mountain View, CA",No Offer,Negative Experience,Average Interview,"I applied through an employee referral. The process took 5 weeks. I interviewed at Google (Mountain View, CA) in Aug 2021","Very standard process of Google DS interview. 2 technical sessions, 1 bq, then another 2 technical sessions.
 
 My experience is very standard except that 2/4 technical sessions are ruined by the interviewers asking for inappropriate questions.
 
 I complained and got a final round of back up session, but it is useless and could not change my overall review.
 
 Difficulty is average as those hard ones are either wrong, or out of control of the interviewers (even the interviewers solved it wrong!)","21 people found this interview helpful
 Helpful
 Share
 Report"
Google,Describe how you manage multiple tasks you are given.,"Sep 27, 2021","Anonymous Interview Candidate in San Francisco, CA",No Offer,Positive Experience,Difficult Interview,"I applied online. The process took 2 months. I interviewed at Google (San Francisco, CA) in Aug 2021","Technical interview including introduction questions, statistical questions, and coding. The statistical questions were about both probability theory and methods and applications. Both theory and method knowledge are required for this interview at Google because the position is not an engineering position. It is a statistical data scientist position","3 people found this interview helpful
 Helpful
 Share
 Report"
Google,Code a hash table in python,"Sep 4, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I applied online. The process took 2 weeks. I interviewed at Google in Aug 2021,"There was one coding round and one round for role-related knowledge. First round went well, but the second one was harder. Interviewers were friendly. Questions related to Python, systems design, DBMS, SQL and architecture. Basics of DL were also asked.","1 person found this interview helpful
 Helpful
 Share
 Report"
Google,Can you explain how SQL works?,"May 13, 2021",Anonymous Interview Candidate,Declined Offer,Positive Experience,Difficult Interview,I interviewed at Google,"Although it took a few rounds, the process was very straight forward but certainly was up there in terms of difficulty levels. Specifically the technical aspect was emphasized which obviously makes sense for a data scientist role","8 people found this interview helpful
 Helpful
 Share
 Report"
Google,"AB tetsing question, how would you remove bias, how would you make inference from data about two ad campaigns.","May 7, 2021",Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I interviewed at Google,"the on-site was 5 rounds,
 1 round: HR, they ask you about past projects and how you handled it. 
 2rounds: technical questions about theoretical stats and data anlysis.
 2 rounds: they give you problems, and ask you to solve it.","9 people found this interview helpful
 Helpful
 Share
 Report"
Google,They asked me to solve some algorithms in python,"Feb 22, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I interviewed at Google,I had a videocall where they asked me about my experience. they asked me to code live and explain them the codem wich I did in python. They asked while I was coding.,"2 people found this interview helpful
 Helpful
 Share
 Report"
Google,How will you responsible about your future job?,"Oct 20, 2022",Anonymous Interview Candidate in Oslo,No Offer,Positive Experience,Average Interview,I applied through other source. I interviewed at Google (Oslo) in Feb 2021,"It was like the other proffesional interview in that case and fortunately I was the once who acceptet,the duration of connecting was about a month then they send me email to visit","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,they ask me to answer to a data structure question,"Mar 6, 2022","Anonymous Interview Candidate in New York, NY",No Offer,Positive Experience,Average Interview,"I applied online. The process took 4 days. I interviewed at Google (New York, NY) in Feb 2021","kind and helpful they are expert, I like them salary is good and environment is inspiring & beautiful good team expert team and professional in their fields you would love their just be calm in the hole interview","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,in what situation would you consider mean over median,"Jan 17, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I interviewed at Google,"i didn't make it past the technical interview.
 
 however the process is relatively straightforward and similar to other companies. submit resume, chat with recruiter, pre-screen questionnaire, technical interview with DS, onsite interview","4 people found this interview helpful
 Helpful
 Share
 Report"
Google,Signed NDA so I can't disclose unfortunately.,"Jan 21, 2021",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I interviewed at Google,"First round is a simple conceptual question, second round consists of 6 interviews (5 technical and 1 behavioral). Since most questions are very open-ended, it was hard to engage whether I was even going in the same direction that they wanted me too.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,"LASSO RIDGE, Research Papaer, Optimization etc","Jan 14, 2021",Anonymous Interview Candidate,Declined Offer,Neutral Experience,Average Interview,I interviewed at Google,2 technical phone screen where they checked background and asked technical questions. Not easy interview as it's hard to impress and convince those guys. Be thorough with fundamentals and they are only looking for some one with research background. I had masters but I guess they require more.,"1 person found this interview helpful
 Helpful
 Share
 Report"
Google,what is standard error of the mean?,"Dec 17, 2020",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I interviewed at Google,"1. apply online, 2. a prescreening step by filling out a form, 3. then a tech phone interview, 4. then 5 rounds of onsite interviews (4 tech interviews + 1 behavior interview)","6 people found this interview helpful
 Helpful
 Share
 Report"
Google,What are precision and recall?,"Jun 25, 2021","Anonymous Interview Candidate in Mountain View, CA",No Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 2 months. I interviewed at Google (Mountain View, CA) in Dec 2020","Questionnaire from HR, phone (video call), onsite interviews. I only made it through phone interview. Questionnaire asks about the past experience, projects worked on, dataset size, techniques used. It takes awhile to write everything for the questionnaire. The virtual phone is pretty much google hangout call for 1 hour asking stats questions and experimental designs","1 person found this interview helpful
 Helpful
 Share
 Report"
Google,Asked to invert a binary tree.,"Oct 21, 2020",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I interviewed at Google,"Was painfully long and rigorous. A phone call, a coding challenge, a whiteboard session, and a culture fit. It was really just testing that you are a smart and capable engineer.","9 people found this interview helpful
 Helpful
 Share
 Report"
Google,"Tell me about YouTube abuse. that's all I remember, Glassdoor forced me to contribute","Nov 3, 2020",Anonymous Interview Candidate,No Offer,Neutral Experience,Application,I interviewed at Google,smooth. HR suggested a different job for me because the one I applied is already filled. Some back and forth emails for scheduling. smooth. HR suggested a different job for me because the one I applied is already filled. Some back and forth emails for scheduling.,"1 person found this interview helpful
 Helpful
 Share
 Report"
Google,"BQ, Basic statistics, statistical sampling","Jan 13, 2021","Anonymous Interview Candidate in Tampa, FL",No Offer,Positive Experience,Application,"I applied through an employee referral. The process took 4 weeks. I interviewed at Google (Tampa, FL) in Oct 2020","Applied by referral. Get contacted by a recruiter after 1 month.
 
 
 
 1 Phone screen.
 
 1 virtual onsite day(5 rounds in total, 4 techs, and 1 Behavior questions)
 
 
 
 After 2 weeks, get informed that I did ont pass.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,standard stats and behavior and product sense.,"Oct 11, 2021","Anonymous Interview Candidate in San Francisco, CA",No Offer,Neutral Experience,Application,"I applied through a recruiter. The process took 2+ months. I interviewed at Google (San Francisco, CA) in Oct 2020","standard, recruiter call phone tech interview, then onsite with 5 people, each took 45 mins. Not sure what went wrong though as I thought it went smoothly. Didn't pass the Hiring committee review.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,One of the coding questions: rejection sampling.,"Oct 20, 2020",Anonymous Interview Candidate,No Offer,Positive Experience,Application,I applied through a recruiter. I interviewed at Google in Sep 2020,"Recruiters reached out to me in the job fair and I had the technical interview (about 1 Hr) and virtual online interview (contains 5 45-min interviews) in September. It's my first time interviewing with tech companies for a full-time position. Most of the interview questions are reasonable. However, I didn't quite understand the questions asked by the last interviewer and I knew I wouldn't pass then.","6 people found this interview helpful
 Helpful
 Share
 Report"
Google,"Go through my background
 Describe cross-functional work;
 Describe a project involving PA;","Jan 22, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Application,I applied through an employee referral. I interviewed at Google in Sep 2020,"Initial contact with recruiter. Referred by a friend and get back from HR in 5 days. We have a 30 mins chat with regular questions for experience, projects and background. Looks they take communication as the first priority.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Google,How did you get so pretty?,"Aug 8, 2020",Anonymous Interview Candidate,Declined Offer,Negative Experience,Application,I interviewed at Google,The hiring managers and execs here were incredibly sexist. They also did not seem technical at all and were only interested in hiring me because I am a fit woman.,"5 people found this interview helpful
 Helpful
 Share
 Report"
Google,write code to generate iid draws from distribution X when we only have access to a random number generator,"Jul 1, 2020","Anonymous Interview Candidate in New York, NY",No Offer,Negative Experience,Application,"I applied through a recruiter. The process took 4 weeks. I interviewed at Google (New York, NY)","Sailed through the initial phone interview (a series of technical stats questions) and then moved to a virtual onsite. This was 5 back to back 45min interviews with other employees, and no break in between sessions. With one exception, everyone seemed rushed, unhappy, and totally uninterested in their work. One interviewer was nearly impossible to communicate with bc of echoing sounds on mic and poor English language skills. It was live coding and or doing math in a Google doc for 90% of the time on complex problems that interviewers seemed to expect a quick simple answer for, rather than a discussion of trade-offs under different scenarios. Responses to my follow up questions were generally misleading or unhelpful. The most useless ""brain teaser"" task was to derive the CDF of an exotic distribution I had not worked with before but could simply be looked up in 2s on Wikipedia. This came after three other questions I had already solved. I'm not sure what they're selecting on here but it was a genuinely bad experience and the interview day provided a strong signal that it would not be a good fit for me. Not surprised about the outcome, but it was a real waste of my time and the recruiter provided zero feedback about the rejection because of ""NDA policy"".","11 people found this interview helpful
 Helpful
 Share
 Report"
Google,1. Write a code to generate random normal distribution and plot it.,"Jul 22, 2020",Anonymous Interview Candidate,No Offer,Negative Experience,Application,I applied through an employee referral. I interviewed at Google in Jul 2020,"It was the worst interview ever! The interviewer makes a condescending remarks about a procedure that I was explaining during the interview. Not every company is Google and not everyone spends the same amount of money on data procurement, alright! Be humble Man!
 
 Then he gets distracted with a text on his phone. Seriously? Do you even realize the amount of time an interviewee spends preparing for an interview? 
 
 Asks a question about data bias perhaps? He is himself not able to explain when I asked clarifying questions. 
 
 At the end, when I asked for feedback he gives me a positive feedback but the outcome is negative.","3 people found this interview helpful
 Helpful
 Share
 Report"
Google,What is the standard error of the mean? Does education level effect salary? Question about interaction effect. Plot histogram chart and generate a normal distribution.,"Oct 24, 2020","Anonymous Interview Candidate in Los Angeles, CA",No Offer,Positive Experience,Application,"I applied online. I interviewed at Google (Los Angeles, CA) in May 2020",Interview via google call using google doc as a white board. The interview questions are not difficult. I think they really test how you communicate and how you present the idea in a clear and simple way.,"5 people found this interview helpful
 Helpful
 Share
 Report"
Google,Detailed questions about ab test.,"Apr 3, 2020",Anonymous Interview Candidate,No Offer,Positive Experience,Application,I interviewed at Google,"Contacted by a recruiter, and she is very helpful. Scheduled a Phone interview after two weeks. Questions are clear, but focused on ab test, confidence interval, power analysis. Not machine learning algorithms.","6 people found this interview helpful
 Helpful
 Share
 Report"
